"","Rk","Date","Tm","X","Opp","Result","X.1","Dist","Good.","Blk."
"1",1,2017-10-30,"KAN",NA,"DEN","W 29-19","Harrison Butker\ButkHa00",51,"Y","N"
"2",2,2017-10-30,"KAN",NA,"DEN","W 29-19","Harrison Butker\ButkHa00",25,"Y","N"
"3",3,2017-10-30,"DEN","@","KAN","L 19-29","Brandon McManus\McMaBr01",27,"Y","N"
"4",4,2017-10-30,"KAN",NA,"DEN","W 29-19","Harrison Butker\ButkHa00",43,"Y","N"
"5",5,2017-10-30,"KAN",NA,"DEN","W 29-19","Harrison Butker\ButkHa00",42,"Y","N"
"6",6,2017-10-30,"KAN",NA,"DEN","W 29-19","Harrison Butker\ButkHa00",32,"Y","N"
"7",7,2017-10-30,"DEN","@","KAN","L 19-29","Brandon McManus\McMaBr01",34,"Y","N"
"8",8,2017-10-29,"ATL","@","NYJ","W 25-20","Matt Bryant\bryanmat01",29,"Y","N"
"9",9,2017-10-29,"WAS",NA,"DAL","L 19-33","Nick Rose\RoseNi00",36,"N","Y"
"10",10,2017-10-29,"MIN","@","CLE","W 33-16","Kai Forbath\ForbKa00",51,"Y","N"
"11",11,2017-10-29,"SEA",NA,"HOU","W 41-38","Blair Walsh\WalsBl00",21,"Y","N"
"12",12,2017-10-29,"PHI",NA,"SFO","W 33-10","Jake Elliott\ElliJa03",51,"Y","N"
"13",13,2017-10-29,"CIN",NA,"IND","W 24-23","Randy Bullock\BullRa00",29,"Y","N"
"14",14,2017-10-29,"NWE",NA,"LAC","W 21-13","Stephen Gostkowski\GostSt20",43,"N","N"
"15",15,2017-10-29,"ATL","@","NYJ","W 25-20","Matt Bryant\bryanmat01",23,"Y","N"
"16",16,2017-10-29,"DAL","@","WAS","W 33-19","Mike Nugent\nugenmik01",48,"Y","N"
"17",17,2017-10-29,"MIN","@","CLE","W 33-16","Kai Forbath\ForbKa00",35,"Y","N"
"18",18,2017-10-29,"DET",NA,"PIT","L 15-20","Matt Prater\PratMa20",51,"Y","N"
"19",19,2017-10-29,"CHI","@","NOR","L 12-20","Connor Barth\barthco01",27,"Y","N"
"20",20,2017-10-29,"NWE",NA,"LAC","W 21-13","Stephen Gostkowski\GostSt20",36,"Y","N"
"21",21,2017-10-29,"IND","@","CIN","L 23-24","Adam Vinatieri\vinatada01",29,"Y","N"
"22",22,2017-10-29,"NYJ",NA,"ATL","L 20-25","Chandler Catanzaro\CataCh00",43,"Y","N"
"23",23,2017-10-29,"BUF",NA,"OAK","W 34-14","Steven Hauschka\HausSt00",44,"Y","N"
"24",24,2017-10-29,"NOR",NA,"CHI","W 20-12","Wil Lutz\LutzWi00",49,"Y","N"
"25",25,2017-10-29,"HOU","@","SEA","L 38-41","Ka'imi Fairbairn\FairKa01",31,"Y","N"
"26",26,2017-10-29,"SFO","@","PHI","L 10-33","Robbie Gould\gouldrob01",27,"N","Y"
"27",27,2017-10-29,"ATL","@","NYJ","W 25-20","Matt Bryant\bryanmat01",37,"Y","N"
"28",28,2017-10-29,"WAS",NA,"DAL","L 19-33","Nick Rose\RoseNi00",42,"Y","N"
"29",29,2017-10-29,"DAL","@","WAS","W 33-19","Mike Nugent\nugenmik01",37,"Y","N"
"30",30,2017-10-29,"MIN","@","CLE","W 33-16","Kai Forbath\ForbKa00",43,"Y","N"
"31",31,2017-10-29,"DET",NA,"PIT","L 15-20","Matt Prater\PratMa20",19,"Y","N"
"32",32,2017-10-29,"CHI","@","NOR","L 12-20","Connor Barth\barthco01",44,"Y","N"
"33",33,2017-10-29,"SEA",NA,"HOU","W 41-38","Blair Walsh\WalsBl00",21,"Y","N"
"34",34,2017-10-29,"PHI",NA,"SFO","W 33-10","Jake Elliott\ElliJa03",40,"Y","N"
"35",35,2017-10-29,"NWE",NA,"LAC","W 21-13","Stephen Gostkowski\GostSt20",43,"Y","N"
"36",36,2017-10-29,"IND","@","CIN","L 23-24","Adam Vinatieri\vinatada01",29,"Y","N"
"37",37,2017-10-29,"NYJ",NA,"ATL","L 20-25","Chandler Catanzaro\CataCh00",46,"Y","N"
"38",38,2017-10-29,"DAL","@","WAS","W 33-19","Mike Nugent\nugenmik01",36,"Y","N"
"39",39,2017-10-29,"CAR","@","TAM","W 17-3","Graham Gano\GanoGr44",28,"Y","N"
"40",40,2017-10-29,"DET",NA,"PIT","L 15-20","Matt Prater\PratMa20",37,"Y","N"
"41",41,2017-10-29,"CLE",NA,"MIN","L 16-33","Zane Gonzalez\GonzZa00",23,"Y","N"
"42",42,2017-10-29,"PIT","@","DET","W 20-15","Chris Boswell\BoswCh00",38,"Y","N"
"43",43,2017-10-29,"NWE",NA,"LAC","W 21-13","Stephen Gostkowski\GostSt20",25,"Y","N"
"44",44,2017-10-29,"TAM",NA,"CAR","L 3-17","Patrick Murray\MurrPa01",41,"Y","N"
"45",45,2017-10-29,"NYJ",NA,"ATL","L 20-25","Chandler Catanzaro\CataCh00",46,"N","N"
"46",46,2017-10-29,"BUF",NA,"OAK","W 34-14","Steven Hauschka\HausSt00",35,"Y","N"
"47",47,2017-10-29,"NOR",NA,"CHI","W 20-12","Wil Lutz\LutzWi00",45,"Y","N"
"48",48,2017-10-29,"CIN",NA,"IND","W 24-23","Randy Bullock\BullRa00",34,"N","Y"
"49",49,2017-10-29,"NWE",NA,"LAC","W 21-13","Stephen Gostkowski\GostSt20",26,"Y","N"
"50",50,2017-10-29,"ATL","@","NYJ","W 25-20","Matt Bryant\bryanmat01",45,"Y","N"
"51",51,2017-10-29,"WAS",NA,"DAL","L 19-33","Nick Rose\RoseNi00",38,"Y","N"
"52",52,2017-10-29,"DAL","@","WAS","W 33-19","Mike Nugent\nugenmik01",27,"Y","N"
"53",53,2017-10-29,"MIN","@","CLE","W 33-16","Kai Forbath\ForbKa00",34,"Y","N"
"54",54,2017-10-29,"DET",NA,"PIT","L 15-20","Matt Prater\PratMa20",34,"Y","N"
"55",55,2017-10-29,"CHI","@","NOR","L 12-20","Connor Barth\barthco01",48,"N","N"
"56",56,2017-10-29,"NWE",NA,"LAC","W 21-13","Stephen Gostkowski\GostSt20",43,"N","N"
"57",57,2017-10-29,"IND","@","CIN","L 23-24","Adam Vinatieri\vinatada01",33,"Y","N"
"58",58,2017-10-29,"NYJ",NA,"ATL","L 20-25","Chandler Catanzaro\CataCh00",48,"N","N"
"59",59,2017-10-29,"DAL","@","WAS","W 33-19","Mike Nugent\nugenmik01",49,"N","N"
"60",60,2017-10-29,"LAC","@","NWE","L 13-21","Nick Novak\novaknic01",51,"N","N"
"61",61,2017-10-29,"DET",NA,"PIT","L 15-20","Matt Prater\PratMa20",48,"Y","N"
"62",62,2017-10-29,"CLE",NA,"MIN","L 16-33","Zane Gonzalez\GonzZa00",35,"N","N"
"63",63,2017-10-29,"SFO","@","PHI","L 10-33","Robbie Gould\gouldrob01",50,"Y","N"
"64",64,2017-10-29,"PIT","@","DET","W 20-15","Chris Boswell\BoswCh00",34,"Y","N"
"65",65,2017-10-26,"BAL",NA,"MIA","W 40-0","Justin Tucker\TuckJu00",46,"N","Y"
"66",66,2017-10-26,"MIA","@","BAL","L 0-40","Cody Parkey\ParkCo03",50,"N","N"
"67",67,2017-10-26,"BAL",NA,"MIA","W 40-0","Justin Tucker\TuckJu00",48,"Y","N"
"68",68,2017-10-26,"BAL",NA,"MIA","W 40-0","Justin Tucker\TuckJu00",55,"Y","N"
"69",69,2017-10-23,"WAS","@","PHI","L 24-34","Nick Rose\RoseNi00",27,"Y","N"
"70",70,2017-10-23,"PHI",NA,"WAS","W 34-24","Jake Elliott\ElliJa03",42,"Y","N"
"71",71,2017-10-23,"PHI",NA,"WAS","W 34-24","Jake Elliott\ElliJa03",50,"Y","N"
"72",72,2017-10-23,"PHI",NA,"WAS","W 34-24","Jake Elliott\ElliJa03",45,"N","N"
"73",73,2017-10-22,"TAM","@","BUF","L 27-30","Patrick Murray\MurrPa01",25,"Y","N"
"74",74,2017-10-22,"BUF",NA,"TAM","W 30-27","Steven Hauschka\HausSt00",30,"Y","N"
"75",75,2017-10-22,"TEN","@","CLE","W 12-9","Ryan Succop\SuccRy44",46,"Y","N"
"76",76,2017-10-22,"MIN",NA,"BAL","W 24-16","Kai Forbath\ForbKa00",51,"Y","N"
"77",77,2017-10-22,"NOR","@","GNB","W 26-17","Wil Lutz\LutzWi00",44,"Y","N"
"78",78,2017-10-22,"CLE",NA,"TEN","L 9-12","Zane Gonzalez\GonzZa00",31,"Y","N"
"79",79,2017-10-22,"PIT",NA,"CIN","W 29-14","Chris Boswell\BoswCh00",41,"Y","N"
"80",80,2017-10-22,"LAR",NA,"ARI","W 33-0","Greg Zuerlein\ZuerGr00",53,"Y","N"
"81",81,2017-10-22,"BUF",NA,"TAM","W 30-27","Steven Hauschka\HausSt00",25,"Y","N"
"82",82,2017-10-22,"BAL","@","MIN","L 16-24","Justin Tucker\TuckJu00",47,"Y","N"
"83",83,2017-10-22,"TEN","@","CLE","W 12-9","Ryan Succop\SuccRy44",47,"Y","N"
"84",84,2017-10-22,"MIN",NA,"BAL","W 24-16","Kai Forbath\ForbKa00",43,"Y","N"
"85",85,2017-10-22,"CLE",NA,"TEN","L 9-12","Zane Gonzalez\GonzZa00",54,"Y","N"
"86",86,2017-10-22,"PIT",NA,"CIN","W 29-14","Chris Boswell\BoswCh00",25,"Y","N"
"87",87,2017-10-22,"NWE",NA,"ATL","W 23-7","Stephen Gostkowski\GostSt20",21,"Y","N"
"88",88,2017-10-22,"JAX","@","IND","W 27-0","Josh Lambo\LambJo00",42,"Y","N"
"89",89,2017-10-22,"BUF",NA,"TAM","W 30-27","Steven Hauschka\HausSt00",52,"Y","N"
"90",90,2017-10-22,"TEN","@","CLE","W 12-9","Ryan Succop\SuccRy44",23,"Y","N"
"91",91,2017-10-22,"MIN",NA,"BAL","W 24-16","Kai Forbath\ForbKa00",52,"Y","N"
"92",92,2017-10-22,"NOR","@","GNB","W 26-17","Wil Lutz\LutzWi00",28,"Y","N"
"93",93,2017-10-22,"GNB",NA,"NOR","L 17-26","Mason Crosby\CrosMa20",46,"Y","N"
"94",94,2017-10-22,"PIT",NA,"CIN","W 29-14","Chris Boswell\BoswCh00",24,"Y","N"
"95",95,2017-10-22,"TAM","@","BUF","L 27-30","Patrick Murray\MurrPa01",50,"Y","N"
"96",96,2017-10-22,"ATL","@","NWE","L 7-23","Matt Bryant\bryanmat01",36,"N","N"
"97",97,2017-10-22,"LAR",NA,"ARI","W 33-0","Greg Zuerlein\ZuerGr00",33,"Y","N"
"98",98,2017-10-22,"BAL","@","MIN","L 16-24","Justin Tucker\TuckJu00",57,"Y","N"
"99",99,2017-10-22,"MIN",NA,"BAL","W 24-16","Kai Forbath\ForbKa00",32,"Y","N"
"100",100,2017-10-22,"CHI",NA,"CAR","W 17-3","Connor Barth\barthco01",19,"Y","N"
"101",101,2017-10-22,"MIA",NA,"NYJ","W 31-28","Cody Parkey\ParkCo03",39,"Y","N"
"102",102,2017-10-22,"TEN","@","CLE","W 12-9","Ryan Succop\SuccRy44",53,"N","N"
"103",103,2017-10-22,"MIN",NA,"BAL","W 24-16","Kai Forbath\ForbKa00",43,"Y","N"
"104",104,2017-10-22,"CLE",NA,"TEN","L 9-12","Zane Gonzalez\GonzZa00",47,"Y","N"
"105",105,2017-10-22,"SFO",NA,"DAL","L 10-40","Robbie Gould\gouldrob01",42,"Y","N"
"106",106,2017-10-22,"PIT",NA,"CIN","W 29-14","Chris Boswell\BoswCh00",49,"Y","N"
"107",107,2017-10-22,"NWE",NA,"ATL","W 23-7","Stephen Gostkowski\GostSt20",29,"Y","N"
"108",108,2017-10-22,"LAR",NA,"ARI","W 33-0","Greg Zuerlein\ZuerGr00",34,"Y","N"
"109",109,2017-10-22,"BUF",NA,"TAM","W 30-27","Steven Hauschka\HausSt00",41,"N","N"
"110",110,2017-10-22,"TEN","@","CLE","W 12-9","Ryan Succop\SuccRy44",43,"Y","N"
"111",111,2017-10-22,"SEA","@","NYG","W 24-7","Blair Walsh\WalsBl00",39,"Y","N"
"112",112,2017-10-22,"GNB",NA,"NOR","L 17-26","Mason Crosby\CrosMa20",59,"N","N"
"113",113,2017-10-22,"PIT",NA,"CIN","W 29-14","Chris Boswell\BoswCh00",22,"Y","N"
"114",114,2017-10-22,"NYG",NA,"SEA","L 7-24","Aldrick Rosas\RosaAl00",47,"N","N"
"115",115,2017-10-22,"ATL","@","NWE","L 7-23","Matt Bryant\bryanmat01",37,"N","Y"
"116",116,2017-10-22,"ARI","@","LAR","L 0-33","Phil Dawson\dawsophi01",32,"N","N"
"117",117,2017-10-22,"LAR",NA,"ARI","W 33-0","Greg Zuerlein\ZuerGr00",23,"Y","N"
"118",118,2017-10-22,"BAL","@","MIN","L 16-24","Justin Tucker\TuckJu00",48,"Y","N"
"119",119,2017-10-22,"MIN",NA,"BAL","W 24-16","Kai Forbath\ForbKa00",34,"Y","N"
"120",120,2017-10-22,"CAR","@","CHI","L 3-17","Graham Gano\GanoGr44",36,"Y","N"
"121",121,2017-10-22,"CHI",NA,"CAR","W 17-3","Connor Barth\barthco01",52,"N","Y"
"122",122,2017-10-22,"NWE",NA,"ATL","W 23-7","Stephen Gostkowski\GostSt20",38,"Y","N"
"123",123,2017-10-22,"JAX","@","IND","W 27-0","Josh Lambo\LambJo00",33,"Y","N"
"124",124,2017-10-19,"OAK",NA,"KAN","W 31-30","Giorgio Tavecchio\TaveGi00",26,"Y","N"
"125",125,2017-10-19,"KAN","@","OAK","L 30-31","Harrison Butker\ButkHa00",53,"Y","N"
"126",126,2017-10-19,"OAK",NA,"KAN","W 31-30","Giorgio Tavecchio\TaveGi00",45,"N","N"
"127",127,2017-10-19,"KAN","@","OAK","L 30-31","Harrison Butker\ButkHa00",37,"Y","N"
"128",128,2017-10-19,"OAK",NA,"KAN","W 31-30","Giorgio Tavecchio\TaveGi00",53,"N","Y"
"129",129,2017-10-19,"KAN","@","OAK","L 30-31","Harrison Butker\ButkHa00",39,"Y","N"
"130",130,2017-10-16,"IND","@","TEN","L 22-36","Adam Vinatieri\vinatada01",25,"Y","N"
"131",131,2017-10-16,"TEN",NA,"IND","W 36-22","Ryan Succop\SuccRy44",23,"Y","N"
"132",132,2017-10-16,"TEN",NA,"IND","W 36-22","Ryan Succop\SuccRy44",32,"Y","N"
"133",133,2017-10-16,"IND","@","TEN","L 22-36","Adam Vinatieri\vinatada01",36,"Y","N"
"134",134,2017-10-16,"TEN",NA,"IND","W 36-22","Ryan Succop\SuccRy44",48,"Y","N"
"135",135,2017-10-16,"TEN",NA,"IND","W 36-22","Ryan Succop\SuccRy44",48,"Y","N"
"136",136,2017-10-16,"IND","@","TEN","L 22-36","Adam Vinatieri\vinatada01",52,"Y","N"
"137",137,2017-10-16,"TEN",NA,"IND","W 36-22","Ryan Succop\SuccRy44",40,"Y","N"
"138",138,2017-10-15,"NYG","@","DEN","W 23-10","Aldrick Rosas\RosaAl00",51,"Y","N"
"139",139,2017-10-15,"KAN",NA,"PIT","L 13-19","Harrison Butker\ButkHa00",46,"Y","N"
"140",140,2017-10-15,"NYJ",NA,"NWE","L 17-24","Chandler Catanzaro\CataCh00",28,"Y","N"
"141",141,2017-10-15,"MIA","@","ATL","W 20-17","Cody Parkey\ParkCo03",38,"Y","N"
"142",142,2017-10-15,"BAL",NA,"CHI","L 24-27","Justin Tucker\TuckJu00",27,"Y","N"
"143",143,2017-10-15,"SFO","@","WAS","L 24-26","Robbie Gould\gouldrob01",47,"N","N"
"144",144,2017-10-15,"NWE","@","NYJ","W 24-17","Stephen Gostkowski\GostSt20",28,"Y","N"
"145",145,2017-10-15,"JAX",NA,"LAR","L 17-27","Jason Myers\MyerJa00",41,"Y","N"
"146",146,2017-10-15,"MIN",NA,"GNB","W 23-10","Kai Forbath\ForbKa00",34,"Y","N"
"147",147,2017-10-15,"GNB","@","MIN","L 10-23","Mason Crosby\CrosMa20",26,"Y","N"
"148",148,2017-10-15,"PIT","@","KAN","W 19-13","Chris Boswell\BoswCh00",24,"Y","N"
"149",149,2017-10-15,"OAK",NA,"LAC","L 16-17","Giorgio Tavecchio\TaveGi00",44,"Y","N"
"150",150,2017-10-15,"NYG","@","DEN","W 23-10","Aldrick Rosas\RosaAl00",40,"Y","N"
"151",151,2017-10-15,"ATL",NA,"MIA","L 17-20","Matt Bryant\bryanmat01",59,"N","N"
"152",152,2017-10-15,"ARI",NA,"TAM","W 38-33","Phil Dawson\dawsophi01",28,"Y","N"
"153",153,2017-10-15,"LAR","@","JAX","W 27-17","Greg Zuerlein\ZuerGr00",29,"Y","N"
"154",154,2017-10-15,"BAL",NA,"CHI","L 24-27","Justin Tucker\TuckJu00",50,"Y","N"
"155",155,2017-10-15,"DEN",NA,"NYG","L 10-23","Brandon McManus\McMaBr01",35,"N","N"
"156",156,2017-10-15,"LAC","@","OAK","W 17-16","Nick Novak\novaknic01",32,"Y","N"
"157",157,2017-10-15,"DET","@","NOR","L 38-52","Matt Prater\PratMa20",56,"N","N"
"158",158,2017-10-15,"CHI","@","BAL","W 27-24","Connor Barth\barthco01",40,"Y","N"
"159",159,2017-10-15,"NYG","@","DEN","W 23-10","Aldrick Rosas\RosaAl00",25,"Y","N"
"160",160,2017-10-15,"MIA","@","ATL","W 20-17","Cody Parkey\ParkCo03",49,"Y","N"
"161",161,2017-10-15,"CLE","@","HOU","L 17-33","Zane Gonzalez\GonzZa00",41,"Y","N"
"162",162,2017-10-15,"SFO","@","WAS","L 24-26","Robbie Gould\gouldrob01",52,"Y","N"
"163",163,2017-10-15,"NWE","@","NYJ","W 24-17","Stephen Gostkowski\GostSt20",47,"N","N"
"164",164,2017-10-15,"JAX",NA,"LAR","L 17-27","Jason Myers\MyerJa00",54,"N","N"
"165",165,2017-10-15,"WAS",NA,"SFO","W 26-24","Dustin Hopkins\HopkDu00",21,"Y","N"
"166",166,2017-10-15,"MIN",NA,"GNB","W 23-10","Kai Forbath\ForbKa00",36,"Y","N"
"167",167,2017-10-15,"DEN",NA,"NYG","L 10-23","Brandon McManus\McMaBr01",53,"N","Y"
"168",168,2017-10-15,"NYG","@","DEN","W 23-10","Aldrick Rosas\RosaAl00",49,"N","Y"
"169",169,2017-10-15,"ATL",NA,"MIA","L 17-20","Matt Bryant\bryanmat01",50,"Y","N"
"170",170,2017-10-15,"KAN",NA,"PIT","L 13-19","Harrison Butker\ButkHa00",33,"Y","N"
"171",171,2017-10-15,"LAR","@","JAX","W 27-17","Greg Zuerlein\ZuerGr00",56,"Y","N"
"172",172,2017-10-15,"BAL",NA,"CHI","L 24-27","Justin Tucker\TuckJu00",31,"Y","N"
"173",173,2017-10-15,"LAC","@","OAK","W 17-16","Nick Novak\novaknic01",48,"N","N"
"174",174,2017-10-15,"DET","@","NOR","L 38-52","Matt Prater\PratMa20",41,"Y","N"
"175",175,2017-10-15,"CHI","@","BAL","W 27-24","Connor Barth\barthco01",24,"Y","N"
