Rk,Date,Tm,,Opp,Result,,Dist,Good?,Blk?
67,2016-12-25,KAN,,DEN,W 33-10,Cairo Santos\SantCa01,27,Y,N
68,2016-12-25,BAL,@,PIT,L 27-31,Justin Tucker\TuckJu00,41,Y,N
69,2016-12-25,DEN,@,KAN,L 10-33,Brandon McManus\McMaBr01,52,Y,N
70,2016-12-25,BAL,@,PIT,L 27-31,Justin Tucker\TuckJu00,46,Y,N
71,2016-12-25,KAN,,DEN,W 33-10,Cairo Santos\SantCa01,39,N,N
72,2016-12-24,CAR,,ATL,L 16-33,Graham Gano\GanoGr44,31,Y,N
73,2016-12-24,IND,@,OAK,L 25-33,Adam Vinatieri\vinatada01,42,Y,N
74,2016-12-24,HOU,,CIN,W 12-10,Nick Novak\novaknic01,25,Y,N
75,2016-12-24,WAS,@,CHI,W 41-21,Dustin Hopkins\HopkDu00,29,Y,N
76,2016-12-24,SEA,,ARI,L 31-34,Steven Hauschka\HausSt00,45,N,Y
77,2016-12-24,JAX,,TEN,W 38-17,Jason Myers\MyerJa00,56,Y,N
78,2016-12-24,NYJ,@,NWE,L 3-41,Nick Folk\FolkNi20,29,Y,N
79,2016-12-24,CLE,,SDG,W 20-17,Cody Parkey\ParkCo03,49,Y,N
80,2016-12-24,SDG,@,CLE,L 17-20,Josh Lambo\LambJo00,32,N,Y
81,2016-12-24,MIA,@,BUF,W 34-31,Andrew Franks\FranAn01,27,Y,N
82,2016-12-24,ATL,@,CAR,W 33-16,Matt Bryant\bryanmat01,29,Y,N
83,2016-12-24,CIN,@,HOU,L 10-12,Randy Bullock\BullRa00,43,Y,N
84,2016-12-24,BUF,,MIA,L 31-34,Dan Carpenter\CarpDa44,46,N,N
85,2016-12-24,TEN,@,JAX,L 17-38,Ryan Succop\SuccRy44,42,Y,N
86,2016-12-24,CAR,,ATL,L 16-33,Graham Gano\GanoGr44,31,Y,N
87,2016-12-24,NWE,,NYJ,W 41-3,Stephen Gostkowski\GostSt20,29,Y,N
88,2016-12-24,ATL,@,CAR,W 33-16,Matt Bryant\bryanmat01,51,Y,N
89,2016-12-24,ARI,@,SEA,W 34-31,Chandler Catanzaro\CataCh00,42,Y,N
90,2016-12-24,MIN,@,GNB,L 25-38,Kai Forbath\ForbKa00,22,Y,N
91,2016-12-24,NOR,,TAM,W 31-24,Wil Lutz\LutzWi00,42,Y,N
92,2016-12-24,JAX,,TEN,W 38-17,Jason Myers\MyerJa00,48,Y,N
93,2016-12-24,BUF,,MIA,L 31-34,Dan Carpenter\CarpDa44,45,N,N
94,2016-12-24,NYJ,@,NWE,L 3-41,Nick Folk\FolkNi20,34,N,N
95,2016-12-24,SDG,@,CLE,L 17-20,Josh Lambo\LambJo00,43,Y,N
96,2016-12-24,MIA,@,BUF,W 34-31,Andrew Franks\FranAn01,55,Y,N
97,2016-12-24,CHI,,WAS,L 21-41,Connor Barth\barthco01,22,N,Y
98,2016-12-24,ATL,@,CAR,W 33-16,Matt Bryant\bryanmat01,30,N,Y
99,2016-12-24,NOR,,TAM,W 31-24,Wil Lutz\LutzWi00,21,Y,N
100,2016-12-24,CAR,,ATL,L 16-33,Graham Gano\GanoGr44,40,Y,N
101,2016-12-24,HOU,,CIN,W 12-10,Nick Novak\novaknic01,22,Y,N
102,2016-12-24,WAS,@,CHI,W 41-21,Dustin Hopkins\HopkDu00,20,Y,N
103,2016-12-24,SEA,,ARI,L 31-34,Steven Hauschka\HausSt00,27,Y,N
104,2016-12-24,ARI,@,SEA,W 34-31,Chandler Catanzaro\CataCh00,53,N,N
105,2016-12-24,JAX,,TEN,W 38-17,Jason Myers\MyerJa00,50,Y,N
106,2016-12-24,GNB,,MIN,W 38-25,Mason Crosby\CrosMa20,48,Y,N
107,2016-12-24,CLE,,SDG,W 20-17,Cody Parkey\ParkCo03,27,Y,N
108,2016-12-24,SDG,@,CLE,L 17-20,Josh Lambo\LambJo00,45,N,N
109,2016-12-24,ATL,@,CAR,W 33-16,Matt Bryant\bryanmat01,50,Y,N
110,2016-12-24,JAX,,TEN,W 38-17,Jason Myers\MyerJa00,29,Y,N
111,2016-12-24,CIN,@,HOU,L 10-12,Randy Bullock\BullRa00,43,N,N
112,2016-12-24,BUF,,MIA,L 31-34,Dan Carpenter\CarpDa44,28,Y,N
113,2016-12-24,TAM,@,NOR,L 24-31,Roberto Aguayo\AguaRo00,35,Y,N
114,2016-12-24,NWE,,NYJ,W 41-3,Stephen Gostkowski\GostSt20,22,Y,N
115,2016-12-24,MIA,@,BUF,W 34-31,Andrew Franks\FranAn01,46,N,N
116,2016-12-24,ATL,@,CAR,W 33-16,Matt Bryant\bryanmat01,48,Y,N
117,2016-12-24,ARI,@,SEA,W 34-31,Chandler Catanzaro\CataCh00,43,Y,N
118,2016-12-24,MIN,@,GNB,L 25-38,Kai Forbath\ForbKa00,26,Y,N
119,2016-12-24,NOR,,TAM,W 31-24,Wil Lutz\LutzWi00,34,Y,N
120,2016-12-22,NYG,@,PHI,L 19-24,Robbie Gould\gouldrob01,35,Y,N
121,2016-12-22,NYG,@,PHI,L 19-24,Robbie Gould\gouldrob01,41,Y,N
122,2016-12-22,NYG,@,PHI,L 19-24,Robbie Gould\gouldrob01,35,Y,N
123,2016-12-22,PHI,,NYG,W 24-19,Caleb Sturgis\SturCa00,41,Y,N
124,2016-12-22,NYG,@,PHI,L 19-24,Robbie Gould\gouldrob01,29,Y,N
125,2016-12-19,CAR,@,WAS,W 26-15,Graham Gano\GanoGr44,23,Y,N
126,2016-12-19,WAS,,CAR,L 15-26,Dustin Hopkins\HopkDu00,43,Y,N
127,2016-12-19,CAR,@,WAS,W 26-15,Graham Gano\GanoGr44,41,Y,N
128,2016-12-19,WAS,,CAR,L 15-26,Dustin Hopkins\HopkDu00,34,Y,N
129,2016-12-19,CAR,@,WAS,W 26-15,Graham Gano\GanoGr44,23,Y,N
