"","Date","Name","Distance","Made","Block","H.A","SeasonPerc","Temp","Years.Exp.","Average.Dist.","Career.Avg.","Dome"
"82","12/24/16","Matt Bryant\bryanmat01",51,"Y","N","Away",0.919,72,15,37.3,0.858,"NOT DOME"
"83","12/24/16","Chandler Catanzaro\CataCh00",42,"Y","N","Away",0.75,72,2,39.07,0.851,"NOT DOME"
"84","12/24/16","Wil Lutz\LutzWi00",42,"Y","N","Home",0.824,65,0,37.53,0.842,"NOT DOME"
"85","12/24/16","Jason Myers\MyerJa00",48,"Y","N","Home",0.794,65,1,42.82,0.824,"NOT DOME"
"86","12/24/16","Dan Carpenter\CarpDa44",45,"N","N","Home",0.76,65,8,36.16,0.84,"NOT DOME"
"87","12/24/16","Nick Folk\FolkNi20",34,"N","N","Away",0.871,65,9,33.97,0.813,"NOT DOME"
"88","12/24/16","Josh Lambo\LambJo00",43,"Y","N","Away",0.813,60,1,36.38,0.813,"NOT DOME"
"89","12/24/16","Andrew Franks\FranAn01",55,"Y","N","Away",0.762,60,1,32.86,0.784,"NOT DOME"
"90","12/24/16","Connor Barth\barthco01",22,"N","Y","Home",0.783,60,7,35.35,0.84,"NOT DOME"
"91","12/24/16","Matt Bryant\bryanmat01",30,"N","Y","Away",0.919,35,15,37.3,0.858,"NOT DOME"
"92","12/24/16","Wil Lutz\LutzWi00",21,"Y","N","Home",0.824,35,0,37.53,0.842,"NOT DOME"
"93","12/24/16","Graham Gano\GanoGr44",40,"Y","N","Home",0.789,35,7,40.61,0.8,"NOT DOME"
"94","12/24/16","Nick Novak\novaknic01",22,"Y","N","Home",0.854,35,9,36.78,0.828,"NOT DOME"
"95","12/24/16","Dustin Hopkins\HopkDu00",20,"Y","N","Away",0.81,35,2,36.9,0.845,"NOT DOME"
"96","12/24/16","Steven Hauschka\HausSt00",27,"Y","N","Home",0.892,65,9,34.14,0.868,"DOME"
"97","12/24/16","Chandler Catanzaro\CataCh00",53,"N","N","Away",0.75,65,2,39.07,0.851,"DOME"
"98","12/24/16","Jason Myers\MyerJa00",50,"Y","N","Home",0.794,65,1,42.82,0.824,"DOME"
"99","12/24/16","Mason Crosby\CrosMa20",48,"Y","N","Home",0.867,40,9,35.4,0.804,"NOT DOME"
"100","12/24/16","Cody Parkey\ParkCo03",27,"Y","N","Home",0.8,40,2,37.6,0.846,"NOT DOME"
"101","12/24/16","Josh Lambo\LambJo00",45,"N","N","Away",0.813,41,1,36.38,0.813,"NOT DOME"
"102","12/24/16","Matt Bryant\bryanmat01",50,"Y","N","Away",0.919,41,15,37.3,0.858,"NOT DOME"
"103","12/24/16","Jason Myers\MyerJa00",29,"Y","N","Home",0.794,41,1,42.82,0.824,"NOT DOME"
"104","12/24/16","Dan Carpenter\CarpDa44",28,"Y","N","Home",0.76,40,8,36.16,0.84,"NOT DOME"
"105","12/24/16","Roberto Aguayo\AguaRo00",35,"Y","N","Away",0.71,40,0,36.68,0.713,"NOT DOME"
"106","12/24/16","Stephen Gostkowski\GostSt20",22,"Y","N","Home",0.844,41,10,37.16,0.871,"NOT DOME"
"107","12/24/16","Andrew Franks\FranAn01",46,"N","N","Away",0.762,39,1,32.86,0.784,"NOT DOME"
"108","12/24/16","Matt Bryant\bryanmat01",48,"Y","N","Away",0.919,37,15,37.3,0.858,"NOT DOME"
"109","12/24/16","Chandler Catanzaro\CataCh00",43,"Y","N","Away",0.75,37,2,39.07,0.851,"NOT DOME"
"110","12/24/16","Wil Lutz\LutzWi00",34,"Y","N","Home",0.824,39,0,37.53,0.842,"NOT DOME"
"111","12/22/16","Caleb Sturgis\SturCa00",41,"Y","N","Home",0.854,35,3,37.63,0.81,"NOT DOME"
"112","12/19/16","Graham Gano\GanoGr44",23,"Y","N","Away",0.789,30,7,40.61,0.8,"NOT DOME"
"113","12/19/16","Dustin Hopkins\HopkDu00",43,"Y","N","Home",0.81,30,2,36.9,0.845,"NOT DOME"
"114","12/19/16","Graham Gano\GanoGr44",41,"Y","N","Away",0.789,30,7,40.61,0.8,"NOT DOME"
"115","12/19/16","Dustin Hopkins\HopkDu00",34,"Y","N","Home",0.81,30,2,36.9,0.845,"NOT DOME"
"116","12/19/16","Graham Gano\GanoGr44",23,"Y","N","Away",0.789,30,7,40.61,0.8,"NOT DOME"
"117","12/19/16","Graham Gano\GanoGr44",38,"N","N","Away",0.789,30,7,40.61,0.8,"NOT DOME"
"118","12/19/16","Dustin Hopkins\HopkDu00",26,"Y","N","Home",0.81,30,2,36.9,0.845,"NOT DOME"
"119","12/19/16","Graham Gano\GanoGr44",35,"Y","N","Away",0.789,30,7,40.61,0.8,"NOT DOME"
"120","12/18/16","Ryan Succop\SuccRy44",39,"Y","N","Away",0.917,2,7,39.33,0.831,"NOT DOME"
"121","12/18/16","Sebastian Janikowski\janikseb01",45,"Y","N","Away",0.829,60,16,38.54,0.804,"NOT DOME"
"122","12/18/16","Stephen Gostkowski\GostSt20",40,"Y","N","Away",0.844,27,10,37.16,0.871,"NOT DOME"
"123","12/18/16","Matt Bryant\bryanmat01",50,"Y","N","Home",0.919,65,15,37.3,0.858,"DOME"
"124","12/18/16","Caleb Sturgis\SturCa00",29,"Y","N","Away",0.854,58,3,37.63,0.81,"NOT DOME"
"125","12/18/16","Chandler Catanzaro\CataCh00",55,"N","N","Home",0.75,65,2,39.07,0.851,"DOME"
"126","12/18/16","Matt Prater\PratMa20",48,"Y","N","Away",0.861,48,10,40.17,0.831,"NOT DOME"
"127","12/18/16","Dan Bailey\BailDa00",27,"Y","N","Home",0.844,26,5,38.41,0.897,"NOT DOME"
"128","12/18/16","Wil Lutz\LutzWi00",37,"Y","N","Away",0.824,65,0,37.53,0.842,"DOME"
"129","12/18/16","Mason Crosby\CrosMa20",32,"Y","N","Away",0.867,9,9,35.4,0.804,"NOT DOME"
"130","12/18/16","Brandon McManus\McMaBr01",33,"Y","N","Home",0.853,27,2,37.88,0.821,"NOT DOME"
"131","12/18/16","Nick Novak\novaknic01",45,"Y","N","Home",0.854,37,9,36.78,0.828,"NOT DOME"
"132","12/18/16","Caleb Sturgis\SturCa00",45,"Y","N","Away",0.854,58,3,37.63,0.81,"NOT DOME"
"133","12/18/16","Jason Myers\MyerJa00",50,"Y","N","Away",0.794,37,1,42.82,0.824,"NOT DOME"
"134","12/18/16","Chris Boswell\BoswCh00",40,"Y","N","Away",0.84,26,1,40.64,0.877,"NOT DOME"
"135","12/18/16","Roberto Aguayo\AguaRo00",34,"Y","N","Away",0.71,26,0,36.68,0.713,"NOT DOME"
"136","12/18/16","Cairo Santos\SantCa01",34,"Y","N","Home",0.886,2,2,35.63,0.843,"NOT DOME"
"137","12/18/16","Sebastian Janikowski\janikseb01",21,"Y","N","Away",0.829,60,16,38.54,0.804,"NOT DOME"
"138","12/18/16","Connor Barth\barthco01",26,"Y","N","Home",0.783,9,7,35.35,0.84,"NOT DOME"
"139","12/18/16","Justin Tucker\TuckJu00",53,"Y","N","Home",0.974,58,4,41.95,0.899,"NOT DOME"
"140","12/18/16","Chris Boswell\BoswCh00",45,"Y","N","Away",0.84,26,1,40.64,0.877,"NOT DOME"
"141","12/18/16","Dan Bailey\BailDa00",40,"Y","N","Home",0.844,26,5,38.41,0.897,"NOT DOME"
"142","12/18/16","Stephen Gostkowski\GostSt20",45,"Y","N","Away",0.844,27,10,37.16,0.871,"NOT DOME"
"143","12/18/16","Adam Vinatieri\vinatada01",50,"Y","N","Away",0.871,65,20,43.16,0.842,"DOME"
"144","12/18/16","Nick Novak\novaknic01",27,"Y","N","Home",0.854,37,9,36.78,0.828,"NOT DOME"
"145","12/18/16","Caleb Sturgis\SturCa00",27,"Y","N","Away",0.854,58,3,37.63,0.81,"NOT DOME"
