"","X.1","X","Date","Name","Distance","Made","Block","H.A","SeasonPerc","Temp","Years.Exp.","Average.Dist.","Career.Avg.","newcol"
"121",121,121,"12/22/16","Robbie Gould\gouldrob01",41,"Y","N","Away",1,65,11,36.3,0.859,"DOME"
"122",122,122,"12/22/16","Robbie Gould\gouldrob01",35,"Y","N","Away",1,65,11,36.3,0.859,"NOT DOME"
"123",123,123,"12/22/16","Caleb Sturgis\SturCa00",41,"Y","N","Home",0.854,35,3,37.63,0.81,"NOT DOME"
"124",124,124,"12/22/16","Robbie Gould\gouldrob01",29,"Y","N","Away",1,35,11,36.3,0.859,"NOT DOME"
"125",125,125,"12/19/16","Graham Gano\GanoGr44",23,"Y","N","Away",0.789,30,7,40.61,0.8,"NOT DOME"
"126",126,126,"12/19/16","Dustin Hopkins\HopkDu00",43,"Y","N","Home",0.81,30,2,36.9,0.845,"NOT DOME"
"127",127,127,"12/19/16","Graham Gano\GanoGr44",41,"Y","N","Away",0.789,30,7,40.61,0.8,"NOT DOME"
"128",128,128,"12/19/16","Dustin Hopkins\HopkDu00",34,"Y","N","Home",0.81,30,2,36.9,0.845,"NOT DOME"
"129",129,129,"12/19/16","Graham Gano\GanoGr44",23,"Y","N","Away",0.789,30,7,40.61,0.8,"NOT DOME"
"130",130,130,"12/19/16","Graham Gano\GanoGr44",38,"N","N","Away",0.789,30,7,40.61,0.8,"NOT DOME"
"131",131,131,"12/19/16","Dustin Hopkins\HopkDu00",26,"Y","N","Home",0.81,30,2,36.9,0.845,"NOT DOME"
"132",132,132,"12/19/16","Graham Gano\GanoGr44",35,"Y","N","Away",0.789,30,7,40.61,0.8,"NOT DOME"
"133",133,133,"12/18/16","Ryan Succop\SuccRy44",39,"Y","N","Away",0.917,2,7,39.33,0.831,"NOT DOME"
"134",134,134,"12/18/16","Sebastian Janikowski\janikseb01",45,"Y","N","Away",0.829,60,16,38.54,0.804,"NOT DOME"
"135",135,135,"12/18/16","Stephen Gostkowski\GostSt20",40,"Y","N","Away",0.844,27,10,37.16,0.871,"NOT DOME"
"136",136,136,"12/18/16","Matt Bryant\bryanmat01",50,"Y","N","Home",0.919,65,15,37.3,0.858,"DOME"
"137",137,137,"12/18/16","Caleb Sturgis\SturCa00",29,"Y","N","Away",0.854,58,3,37.63,0.81,"NOT DOME"
"138",138,138,"12/18/16","Chandler Catanzaro\CataCh00",55,"N","N","Home",0.75,65,2,39.07,0.851,"DOME"
