"","ID","H/A","Name","FG Dist.","Good","Blk.","Avg. Dist.","Sea. Avg."
"103",103,"","Steven Hauschka\HausSt00",27,"Y","N",34.14,"89.2%"
"104",104,"@","Chandler Catanzaro\CataCh00",53,"N","N",39.07,"75.0%"
"105",105,"","Jason Myers\MyerJa00",50,"Y","N",42.82,"79.4%"
"106",106,"","Mason Crosby\CrosMa20",48,"Y","N",35.4,"86.7%"
"107",107,"","Cody Parkey\ParkCo03",27,"Y","N",37.6,"80.0%"
"108",108,"@","Josh Lambo\LambJo00",45,"N","N",36.38,"81.3%"
"109",109,"@","Matt Bryant\bryanmat01",50,"Y","N",37.3,"91.9%"
"110",110,"","Jason Myers\MyerJa00",29,"Y","N",42.82,"79.4%"
"111",111,"@","Randy Bullock\BullRa00",43,"N","N",32.67,"88.9%"
"112",112,"","Dan Carpenter\CarpDa44",28,"Y","N",36.16,"76.0%"
"113",113,"@","Roberto Aguayo\AguaRo00",35,"Y","N",36.68,"71.0%"
"114",114,"","Stephen Gostkowski\GostSt20",22,"Y","N",37.16,"84.4%"
"115",115,"@","Andrew Franks\FranAn01",46,"N","N",32.86,"76.2%"
"116",116,"@","Matt Bryant\bryanmat01",48,"Y","N",37.3,"91.9%"
"117",117,"@","Chandler Catanzaro\CataCh00",43,"Y","N",39.07,"75.0%"
"118",118,"@","Kai Forbath\ForbKa00",26,"Y","N",34.33,"100.0%"
"119",119,"","Wil Lutz\LutzWi00",34,"Y","N",37.53,"82.4%"
"120",120,"@","Robbie Gould\gouldrob01",35,"Y","N",36.3,"100.0%"
"121",121,"@","Robbie Gould\gouldrob01",41,"Y","N",36.3,"100.0%"
"122",122,"@","Robbie Gould\gouldrob01",35,"Y","N",36.3,"100.0%"
"123",123,"","Caleb Sturgis\SturCa00",41,"Y","N",37.63,"85.4%"
"124",124,"@","Robbie Gould\gouldrob01",29,"Y","N",36.3,"100.0%"
"125",125,"@","Graham Gano\GanoGr44",23,"Y","N",40.61,"78.9%"
"126",126,"","Dustin Hopkins\HopkDu00",43,"Y","N",36.9,"81.0%"
"127",127,"@","Graham Gano\GanoGr44",41,"Y","N",40.61,"78.9%"
"128",128,"","Dustin Hopkins\HopkDu00",34,"Y","N",36.9,"81.0%"
"129",129,"@","Graham Gano\GanoGr44",23,"Y","N",40.61,"78.9%"
"130",130,"@","Graham Gano\GanoGr44",38,"N","N",40.61,"78.9%"
"131",131,"","Dustin Hopkins\HopkDu00",26,"Y","N",36.9,"81.0%"
"132",132,"@","Graham Gano\GanoGr44",35,"Y","N",40.61,"78.9%"
"133",133,"@","Ryan Succop\SuccRy44",39,"Y","N",39.33,"91.7%"
"134",134,"@","Sebastian Janikowski\janikseb01",45,"Y","N",38.54,"82.9%"
"135",135,"@","Stephen Gostkowski\GostSt20",40,"Y","N",37.16,"84.4%"
"136",136,"","Matt Bryant\bryanmat01",50,"Y","N",37.3,"91.9%"
"137",137,"@","Caleb Sturgis\SturCa00",29,"Y","N",37.63,"85.4%"
"138",138,"","Chandler Catanzaro\CataCh00",55,"N","N",39.07,"75.0%"
"139",139,"","Kai Forbath\ForbKa00",32,"Y","N",34.33,"100.0%"
"140",140,"@","Matt Prater\PratMa20",48,"Y","N",40.17,"86.1%"
"141",141,"","Dan Bailey\BailDa00",27,"Y","N",38.41,"84.4%"
"142",142,"@","Wil Lutz\LutzWi00",37,"Y","N",37.53,"82.4%"
"143",143,"@","Mason Crosby\CrosMa20",32,"Y","N",35.4,"86.7%"
"144",144,"","Brandon McManus\McMaBr01",33,"Y","N",37.88,"85.3%"
"145",145,"","Nick Novak\novaknic01",45,"Y","N",36.78,"85.4%"
"146",146,"@","Caleb Sturgis\SturCa00",45,"Y","N",37.63,"85.4%"
"147",147,"@","Jason Myers\MyerJa00",50,"Y","N",42.82,"79.4%"
"148",148,"@","Chris Boswell\BoswCh00",40,"Y","N",40.64,"84.0%"
"149",149,"@","Roberto Aguayo\AguaRo00",34,"Y","N",36.68,"71.0%"
"150",150,"","Cairo Santos\SantCa01",34,"Y","N",35.63,"88.6%"
"151",151,"@","Sebastian Janikowski\janikseb01",21,"Y","N",38.54,"82.9%"
"152",152,"","Connor Barth\barthco01",26,"Y","N",35.35,"78.3%"
"153",153,"","Justin Tucker\TuckJu00",53,"Y","N",41.95,"97.4%"
"154",154,"@","Chris Boswell\BoswCh00",45,"Y","N",40.64,"84.0%"
"155",155,"","Dan Bailey\BailDa00",40,"Y","N",38.41,"84.4%"
"156",156,"@","Stephen Gostkowski\GostSt20",45,"Y","N",37.16,"84.4%"
"157",157,"@","Adam Vinatieri\vinatada01",50,"Y","N",43.16,"87.1%"
"158",158,"","Nick Novak\novaknic01",27,"Y","N",36.78,"85.4%"
"159",159,"@","Caleb Sturgis\SturCa00",27,"Y","N",37.63,"85.4%"
"160",160,"@","Chris Boswell\BoswCh00",30,"Y","N",40.64,"84.0%"
"161",161,"","Dan Bailey\BailDa00",56,"N","N",38.41,"84.4%"
"162",162,"@","Mason Crosby\CrosMa20",18,"Y","N",35.4,"86.7%"
"163",163,"@","Cody Parkey\ParkCo03",40,"Y","N",37.6,"80.0%"
"164",164,"","Nick Novak\novaknic01",39,"Y","N",36.78,"85.4%"
"165",165,"@","Jason Myers\MyerJa00",26,"Y","N",42.82,"79.4%"
"166",166,"","Randy Bullock\BullRa00",22,"Y","N",32.67,"88.9%"
"167",167,"","Dan Carpenter\CarpDa44",34,"Y","N",36.16,"76.0%"
"168",168,"@","Chris Boswell\BoswCh00",49,"Y","N",40.64,"84.0%"
"169",169,"","Dan Bailey\BailDa00",33,"Y","N",38.41,"84.4%"
"170",170,"@","Roberto Aguayo\AguaRo00",25,"Y","N",36.68,"71.0%"
"171",171,"@","Ryan Succop\SuccRy44",53,"Y","N",39.33,"91.7%"
"172",172,"@","Sebastian Janikowski\janikseb01",33,"Y","N",38.54,"82.9%"
"173",173,"@","Stephen Gostkowski\GostSt20",21,"Y","N",37.16,"84.4%"
"174",174,"","Matt Bryant\bryanmat01",41,"Y","N",37.3,"91.9%"
"175",175,"","Kai Forbath\ForbKa00",51,"Y","N",34.33,"100.0%"
"176",176,"@","Matt Prater\PratMa20",33,"Y","N",40.17,"86.1%"
"177",177,"","Dan Bailey\BailDa00",52,"N","N",38.41,"84.4%"
"178",178,"@","Wil Lutz\LutzWi00",39,"Y","N",37.53,"82.4%"
"179",179,"@","Adam Vinatieri\vinatada01",48,"Y","N",43.16,"87.1%"
"180",180,"","Nick Novak\novaknic01",43,"Y","N",36.78,"85.4%"
"181",181,"@","Caleb Sturgis\SturCa00",34,"Y","N",37.63,"85.4%"
"182",182,"","Robbie Gould\gouldrob01",47,"Y","N",36.3,"100.0%"
"183",183,"@","Chris Boswell\BoswCh00",49,"Y","N",40.64,"84.0%"
"184",184,"@","Mason Crosby\CrosMa20",34,"Y","N",35.4,"86.7%"
