"","Month","Date","Team","HomeAway","Opponent","Score","Name","Distance","Made","Location","Dome","SeasonAvg","YearsExp","AverageDist","CareerAvg"
"59",4,"2016-12-25","PIT","Home","BAL","W 31-27","Chris Boswell\BoswCh00",36,"Y","PIT","Not Dome",0.84,1,40.64,0.877
"60",4,"2016-12-25","BAL","Away","PIT","L 27-31","Justin Tucker\TuckJu00",38,"Y","PIT","Not Dome",0.974,4,41.95,0.899
"61",4,"2016-12-25","KAN","Home","DEN","W 33-10","Cairo Santos\SantCa01",39,"Y","KAN","Not Dome",0.886,2,35.63,0.843
"62",4,"2016-12-25","BAL","Away","PIT","L 27-31","Justin Tucker\TuckJu00",23,"Y","PIT","Not Dome",0.974,4,41.95,0.899
"63",4,"2016-12-25","BAL","Away","PIT","L 27-31","Justin Tucker\TuckJu00",41,"Y","PIT","Not Dome",0.974,4,41.95,0.899
"64",4,"2016-12-25","KAN","Home","DEN","W 33-10","Cairo Santos\SantCa01",27,"Y","KAN","Not Dome",0.886,2,35.63,0.843
"65",4,"2016-12-25","DEN","Away","KAN","L 10-33","Brandon McManus\McMaBr01",52,"Y","KAN","Not Dome",0.853,2,37.88,0.821
"66",4,"2016-12-25","BAL","Away","PIT","L 27-31","Justin Tucker\TuckJu00",46,"Y","PIT","Not Dome",0.974,4,41.95,0.899
"67",4,"2016-12-24","NWE","Home","NYJ","W 41-3","Stephen Gostkowski\GostSt20",22,"Y","NWE","Not Dome",0.844,10,37.16,0.871
"68",4,"2016-12-24","MIA","Away","BUF","W 34-31","Andrew Franks\FranAn01",46,"N","BUF","Not Dome",0.762,1,32.86,0.784
"69",4,"2016-12-24","ATL","Away","CAR","W 33-16","Matt Bryant\bryanmat01",48,"Y","CAR","Not Dome",0.919,15,37.3,0.858
"70",4,"2016-12-24","ARI","Away","SEA","W 34-31","Chandler Catanzaro\CataCh00",43,"Y","SEA","Not Dome",0.75,2,39.07,0.851
"71",4,"2016-12-24","NOR","Home","TAM","W 31-24","Wil Lutz\LutzWi00",34,"Y","NOR","Dome",0.824,0,37.53,0.842
"72",4,"2016-12-24","IND","Away","OAK","L 25-33","Adam Vinatieri\vinatada01",42,"Y","OAK","Not Dome",0.871,20,43.16,0.842
"73",4,"2016-12-24","HOU","Home","CIN","W 12-10","Nick Novak\novaknic01",25,"Y","HOU","Dome",0.854,9,36.78,0.828
"74",4,"2016-12-24","WAS","Away","CHI","W 41-21","Dustin Hopkins\HopkDu00",29,"Y","CHI","Not Dome",0.81,2,36.9,0.845
"76",4,"2016-12-24","JAX","Home","TEN","W 38-17","Jason Myers\MyerJa00",56,"Y","JAX","Not Dome",0.794,1,42.82,0.824
"77",4,"2016-12-24","NYJ","Away","NWE","L 3-41","Nick Folk\FolkNi20",29,"Y","NWE","Not Dome",0.871,9,33.97,0.813
"78",4,"2016-12-24","CLE","Home","SDG","W 20-17","Cody Parkey\ParkCo03",49,"Y","CLE","Not Dome",0.8,2,37.6,0.846
"79",4,"2016-12-24","CAR","Home","ATL","L 16-33","Graham Gano\GanoGr44",31,"Y","CAR","Not Dome",0.789,7,40.61,0.8
"80",4,"2016-12-24","MIA","Away","BUF","W 34-31","Andrew Franks\FranAn01",27,"Y","BUF","Not Dome",0.762,1,32.86,0.784
"81",4,"2016-12-24","ATL","Away","CAR","W 33-16","Matt Bryant\bryanmat01",29,"Y","CAR","Not Dome",0.919,15,37.3,0.858
"82",4,"2016-12-24","BUF","Home","MIA","L 31-34","Dan Carpenter\CarpDa44",46,"N","BUF","Not Dome",0.76,8,36.16,0.84
"84",4,"2016-12-24","NWE","Home","NYJ","W 41-3","Stephen Gostkowski\GostSt20",29,"Y","NWE","Not Dome",0.844,10,37.16,0.871
"85",4,"2016-12-24","ATL","Away","CAR","W 33-16","Matt Bryant\bryanmat01",51,"Y","CAR","Not Dome",0.919,15,37.3,0.858
"86",4,"2016-12-24","ARI","Away","SEA","W 34-31","Chandler Catanzaro\CataCh00",42,"Y","SEA","Not Dome",0.75,2,39.07,0.851
"87",4,"2016-12-24","NOR","Home","TAM","W 31-24","Wil Lutz\LutzWi00",42,"Y","NOR","Dome",0.824,0,37.53,0.842
"88",4,"2016-12-24","TEN","Away","JAX","L 17-38","Ryan Succop\SuccRy44",42,"Y","JAX","Not Dome",0.917,7,39.33,0.831
"89",4,"2016-12-24","CAR","Home","ATL","L 16-33","Graham Gano\GanoGr44",31,"Y","CAR","Not Dome",0.789,7,40.61,0.8
"90",4,"2016-12-24","JAX","Home","TEN","W 38-17","Jason Myers\MyerJa00",48,"Y","JAX","Not Dome",0.794,1,42.82,0.824
"91",4,"2016-12-24","BUF","Home","MIA","L 31-34","Dan Carpenter\CarpDa44",45,"N","BUF","Not Dome",0.76,8,36.16,0.84
"92",4,"2016-12-24","NYJ","Away","NWE","L 3-41","Nick Folk\FolkNi20",34,"N","NWE","Not Dome",0.871,9,33.97,0.813
"93",4,"2016-12-24","MIA","Away","BUF","W 34-31","Andrew Franks\FranAn01",55,"Y","BUF","Not Dome",0.762,1,32.86,0.784
"96",4,"2016-12-24","NOR","Home","TAM","W 31-24","Wil Lutz\LutzWi00",21,"Y","NOR","Dome",0.824,0,37.53,0.842
"97",4,"2016-12-24","SDG","Away","CLE","L 17-20","Josh Lambo\LambJo00",43,"Y","CLE","Not Dome",0.813,1,36.38,0.813
"98",4,"2016-12-24","HOU","Home","CIN","W 12-10","Nick Novak\novaknic01",22,"Y","HOU","Dome",0.854,9,36.78,0.828
"99",4,"2016-12-24","WAS","Away","CHI","W 41-21","Dustin Hopkins\HopkDu00",20,"Y","CHI","Not Dome",0.81,2,36.9,0.845
"100",4,"2016-12-24","SEA","Home","ARI","L 31-34","Steven Hauschka\HausSt00",27,"Y","SEA","Not Dome",0.892,9,34.14,0.868
"101",4,"2016-12-24","ARI","Away","SEA","W 34-31","Chandler Catanzaro\CataCh00",53,"N","SEA","Not Dome",0.75,2,39.07,0.851
"102",4,"2016-12-24","JAX","Home","TEN","W 38-17","Jason Myers\MyerJa00",50,"Y","JAX","Not Dome",0.794,1,42.82,0.824
"103",4,"2016-12-24","GNB","Home","MIN","W 38-25","Mason Crosby\CrosMa20",48,"Y","GNB","Not Dome",0.867,9,35.4,0.804
"104",4,"2016-12-24","CLE","Home","SDG","W 20-17","Cody Parkey\ParkCo03",27,"Y","CLE","Not Dome",0.8,2,37.6,0.846
