"","X","X.1","team","opponent","Final.Score","Kicker","Distance","Made.","Block.","Home.Away","Season.Percentages","Temperature","Years.played","Player","PERCENTAGE","Years.Played","Years.played.in.2016.Season"
"436",436,"11/13/16","ARI","SFO","W 23-20","Chandler Catanzaro",19,"Y","N","Home",75,"",2,"",NA,NA,NA
"437",437,"11/13/16","PIT","DAL","L 30-35","Chris Boswell",39,"Y","N","Home",84,"",1,"",NA,NA,NA
"438",438,"11/13/16","DAL","PIT","W 35-30","Dan Bailey",37,"Y","N","Away",84,"",5,"",NA,NA,NA
"439",439,"11/13/16","NOR","DEN","L 23-25","Wil Lutz",30,"Y","N","Home",82,"",0,"",NA,NA,NA
"440",440,"11/13/16","TAM","CHI","W 36-10","Roberto Aguayo",30,"Y","N","Home",71,"",0,"",NA,NA,NA
"441",441,"11/13/16","GNB","TEN","L 25-47","Mason Crosby",38,"Y","N","Away",87,"",9,"",NA,NA,NA
"442",442,"11/13/16","DEN","NOR","W 25-23","Brandon McManus",42,"N","N","Away",85,"",2,"",NA,NA,NA
"443",443,"11/13/16","SEA","NWE","W 31-24","Steven Hauschka",41,"Y","N","Away",89,"",9,"",NA,NA,NA
"444",444,"11/13/16","PHI","ATL","W 24-15","Caleb Sturgis",25,"Y","N","Home",85,"",3,"",NA,NA,NA
"445",445,"11/13/16","KAN","CAR","W 20-17","Cairo Santos",36,"Y","N","Away",89,"",2,"",NA,NA,NA
"446",446,"11/13/16","HOU","JAX","W 24-21","Nick Novak",50,"N","N","Away",85,"",9,"",NA,NA,NA
"447",447,"11/13/16","WAS","MIN","W 26-20","Dustin Hopkins",37,"Y","N","Home",81,"",2,"",NA,NA,NA
"448",448,"11/13/16","LAR","NYJ","W 9-6","Greg Zuerlein",20,"Y","N","Away",86,"",4,"",NA,NA,NA
"449",449,"11/13/16","ATL","PHI","L 15-24","Matt Bryant",43,"Y","N","Away",92,"",15,"",NA,NA,NA
"450",450,"11/13/16","PIT","DAL","L 30-35","Chris Boswell",25,"Y","N","Home",84,"",1,"",NA,NA,NA
"451",451,"11/13/16","DAL","PIT","W 35-30","Dan Bailey",46,"Y","N","Away",84,"",5,"",NA,NA,NA
"452",452,"11/13/16","TEN","GNB","W 47-25","Ryan Succop",51,"Y","N","Home",92,"",7,"",NA,NA,NA
"453",453,"11/13/16","DEN","NOR","W 25-23","Brandon McManus",37,"Y","N","Away",85,"",2,"",NA,NA,NA
"454",454,"11/13/16","PHI","ATL","W 24-15","Caleb Sturgis",48,"Y","N","Home",85,"",3,"",NA,NA,NA
"455",455,"11/13/16","ARI","SFO","W 23-20","Chandler Catanzaro",39,"Y","N","Home",75,"",2,"",NA,NA,NA
"456",456,"11/13/16","GNB","TEN","L 25-47","Mason Crosby",29,"Y","N","Away",87,"",9,"",NA,NA,NA
"457",457,"11/13/16","KAN","CAR","W 20-17","Cairo Santos",37,"Y","N","Away",89,"",2,"",NA,NA,NA
"458",458,"11/13/16","DEN","NOR","W 25-23","Brandon McManus",50,"Y","N","Away",85,"",2,"",NA,NA,NA
"459",459,"11/13/16","WAS","MIN","W 26-20","Dustin Hopkins",28,"Y","N","Home",81,"",2,"",NA,NA,NA
"460",460,"11/13/16","SEA","NWE","W 31-24","Steven Hauschka",31,"Y","N","Away",89,"",9,"",NA,NA,NA
"461",461,"11/13/16","LAR","NYJ","W 9-6","Greg Zuerlein",34,"Y","N","Away",86,"",4,"",NA,NA,NA
"462",462,"11/13/16","PHI","ATL","W 24-15","Caleb Sturgis",29,"Y","N","Home",85,"",3,"",NA,NA,NA
"463",463,"11/13/16","ATL","PHI","L 15-24","Matt Bryant",46,"Y","N","Away",92,"",15,"",NA,NA,NA
"464",464,"11/13/16","JAX","HOU","L 21-24","Jason Myers",44,"Y","N","Home",79,"",1,"",NA,NA,NA
"465",465,"11/13/16","SFO","ARI","L 20-23","Phil Dawson",53,"Y","N","Away",86,"",18,"",NA,NA,NA
"466",466,"11/13/16","CAR","KAN","L 17-20","Graham Gano",42,"Y","N","Home",79,"",7,"",NA,NA,NA
"467",467,"11/13/16","KAN","CAR","W 20-17","Cairo Santos",47,"Y","N","Away",89,"",2,"",NA,NA,NA
"468",468,"11/10/16","BAL","CLE","W 28-7","Justin Tucker",40,"Y","N","Home",97,"",4,"",NA,NA,NA
"469",469,"11/10/16","BAL","CLE","W 28-7","Justin Tucker",25,"Y","N","Home",97,"",4,"",NA,NA,NA
"470",470,"11/7/16","BUF","SEA","L 25-31","Dan Carpenter",31,"Y","N","Away",76,"",8,"",NA,NA,NA
"471",471,"11/7/16","SEA","BUF","W 31-25","Steven Hauschka",49,"Y","N","Home",89,"",9,"",NA,NA,NA
"472",472,"11/7/16","BUF","SEA","L 25-31","Dan Carpenter",54,"N","N","Away",76,"",8,"",NA,NA,NA
"473",473,"11/6/16","LAR","CAR","L 10-13","Greg Zuerlein",25,"Y","N","Home",86,"",4,"",NA,NA,NA
"474",474,"11/6/16","PHI","NYG","L 23-28","Caleb Sturgis",26,"Y","N","Away",85,"",3,"",NA,NA,NA
"475",475,"11/6/16","SFO","NOR","L 23-41","Phil Dawson",48,"Y","N","Home",86,"",18,"",NA,NA,NA
"476",476,"11/6/16","CLE","DAL","L 10-35","Cody Parkey",31,"Y","N","Home",80,"",2,"",NA,NA,NA
"477",477,"11/6/16","CAR","LAR","W 13-10","Graham Gano",48,"N","N","Away",79,"",7,"",NA,NA,NA
"478",478,"11/6/16","KAN","JAX","W 19-14","Cairo Santos",51,"Y","N","Home",89,"",2,"",NA,NA,NA
"479",479,"11/6/16","SDG","TEN","W 43-35","Josh Lambo",23,"Y","N","Home",81,"",1,"",NA,NA,NA
"480",480,"11/6/16","OAK","DEN","W 30-20","Sebastian Janikowski",48,"N","N","Home",83,"",16,"",NA,NA,NA
"481",481,"11/6/16","MIA","NYJ","W 27-23","Andrew Franks",33,"Y","N","Home",76,"",1,"",NA,NA,NA
"482",482,"11/6/16","MIN","DET","L 16-22","Blair Walsh",46,"N","Y","Home",75,"",4,"",NA,NA,NA
"483",483,"11/6/16","BAL","PIT","W 21-14","Justin Tucker",42,"Y","N","Home",97,"",4,"",NA,NA,NA
"484",484,"11/6/16","NYJ","MIA","L 23-27","Nick Folk",21,"Y","N","Away",87,"",9,"",NA,NA,NA
"485",485,"11/6/16","NOR","SFO","W 41-23","Wil Lutz",55,"N","N","Away",82,"",0,"",NA,NA,NA
"486",486,"11/6/16","GNB","IND","L 26-31","Mason Crosby",27,"Y","N","Home",87,"",9,"",NA,NA,NA
"487",487,"11/6/16","DEN","OAK","L 20-30","Brandon McManus",44,"Y","N","Away",85,"",2,"",NA,NA,NA
"488",488,"11/6/16","DET","MIN","W 22-16","Matt Prater",53,"Y","N","Away",86,"",10,"",NA,NA,NA
"489",489,"11/6/16","CAR","LAR","W 13-10","Graham Gano",37,"Y","N","Away",79,"",7,"",NA,NA,NA
"490",490,"11/6/16","KAN","JAX","W 19-14","Cairo Santos",36,"Y","N","Home",89,"",2,"",NA,NA,NA
"491",491,"11/6/16","LAR","CAR","L 10-13","Greg Zuerlein",55,"N","N","Home",86,"",4,"",NA,NA,NA
"492",492,"11/6/16","PHI","NYG","L 23-28","Caleb Sturgis",40,"N","Y","Away",85,"",3,"",NA,NA,NA
"493",493,"11/6/16","SFO","NOR","L 23-41","Phil Dawson",49,"Y","N","Home",86,"",18,"",NA,NA,NA
"494",494,"11/6/16","KAN","JAX","W 19-14","Cairo Santos",26,"Y","N","Home",89,"",2,"",NA,NA,NA
"495",495,"11/6/16","OAK","DEN","W 30-20","Sebastian Janikowski",29,"Y","N","Home",83,"",16,"",NA,NA,NA
"496",496,"11/6/16","MIN","DET","L 16-22","Blair Walsh",33,"Y","N","Home",75,"",4,"",NA,NA,NA
"497",497,"11/6/16","BAL","PIT","W 21-14","Justin Tucker",49,"Y","N","Home",97,"",4,"",NA,NA,NA
"498",498,"11/6/16","NYJ","MIA","L 23-27","Nick Folk",23,"Y","N","Away",87,"",9,"",NA,NA,NA
"499",499,"11/6/16","NOR","SFO","W 41-23","Wil Lutz",26,"Y","N","Away",82,"",0,"",NA,NA,NA
"500",500,"11/6/16","GNB","IND","L 26-31","Mason Crosby",48,"N","","Home",87,"",9,"",NA,NA,NA
