"","X","X.1","team","opponent","Final.Score","Kicker","Distance","Made.","Block.","Home.Away","Season.Percentages","Temperature","Years.played","Player","PERCENTAGE","Years.Played","Years.played.in.2016.Season"
"101",101,"12/24/16","HOU","CIN","W 12-10","Nick Novak",22,"Y","N","Home",85,"",9,"",NA,NA,NA
"102",102,"12/24/16","WAS","CHI","W 41-21","Dustin Hopkins",20,"Y","N","Away",81,"",2,"",NA,NA,NA
"103",103,"12/24/16","SEA","ARI","L 31-34","Steven Hauschka",27,"Y","N","Home",89,"",9,"",NA,NA,NA
"104",104,"12/24/16","ARI","SEA","W 34-31","Chandler Catanzaro",53,"N","N","Away",75,"",2,"",NA,NA,NA
"105",105,"12/24/16","JAX","TEN","W 38-17","Jason Myers",50,"Y","N","Home",79,"",1,"",NA,NA,NA
"106",106,"12/24/16","GNB","MIN","W 38-25","Mason Crosby",48,"Y","N","Home",87,"",9,"",NA,NA,NA
"107",107,"12/24/16","CLE","SDG","W 20-17","Cody Parkey",27,"Y","N","Home",80,"",2,"",NA,NA,NA
"108",108,"12/24/16","SDG","CLE","L 17-20","Josh Lambo",45,"N","N","Away",81,"",1,"",NA,NA,NA
"109",109,"12/24/16","ATL","CAR","W 33-16","Matt Bryant",50,"Y","N","Away",92,"",15,"",NA,NA,NA
"110",110,"12/24/16","JAX","TEN","W 38-17","Jason Myers",29,"Y","N","Home",79,"",1,"",NA,NA,NA
"111",111,"12/24/16","CIN","HOU","L 10-12","Randy Bullock",43,"N","N","Away",83,"",6,"",NA,NA,NA
"112",112,"12/24/16","BUF","MIA","L 31-34","Dan Carpenter",28,"Y","N","Home",76,"",8,"",NA,NA,NA
"113",113,"12/24/16","TAM","NOR","L 24-31","Roberto Aguayo",35,"Y","N","Away",71,"",0,"",NA,NA,NA
"114",114,"12/24/16","NWE","NYJ","W 41-3","Stephen Gostkowski",22,"Y","N","Home",84,"",10,"",NA,NA,NA
"115",115,"12/24/16","MIA","BUF","W 34-31","Andrew Franks",46,"N","N","Away",76,"",1,"",NA,NA,NA
"116",116,"12/24/16","ATL","CAR","W 33-16","Matt Bryant",48,"Y","N","Away",92,"",15,"",NA,NA,NA
"117",117,"12/24/16","ARI","SEA","W 34-31","Chandler Catanzaro",43,"Y","N","Away",75,"",2,"",NA,NA,NA
"118",118,"12/24/16","MIN","GNB","L 25-38","Kai Forbath",26,"Y","N","Away",100,"",5,"",NA,NA,NA
"119",119,"12/24/16","NOR","TAM","W 31-24","Wil Lutz",34,"Y","N","Home",82,"",0,"",NA,NA,NA
"120",120,"12/22/16","NYG","PHI","L 19-24","Robbie Gould",35,"Y","N","Away",100,"",11,"",NA,NA,NA
"121",121,"12/22/16","NYG","PHI","L 19-24","Robbie Gould",41,"Y","N","Away",100,"",11,"",NA,NA,NA
"122",122,"12/22/16","NYG","PHI","L 19-24","Robbie Gould",35,"Y","N","Away",100,"",11,"",NA,NA,NA
"123",123,"12/22/16","PHI","NYG","W 24-19","Caleb Sturgis",41,"Y","N","Home",85,"",3,"",NA,NA,NA
"124",124,"12/22/16","NYG","PHI","L 19-24","Robbie Gould",29,"Y","N","Away",100,"",11,"",NA,NA,NA
"125",125,"12/19/16","CAR","WAS","W 26-15","Graham Gano",23,"Y","N","Away",79,"",7,"",NA,NA,NA
"126",126,"12/19/16","WAS","CAR","L 15-26","Dustin Hopkins",43,"Y","N","Home",81,"",2,"",NA,NA,NA
"127",127,"12/19/16","CAR","WAS","W 26-15","Graham Gano",41,"Y","N","Away",79,"",7,"",NA,NA,NA
"128",128,"12/19/16","WAS","CAR","L 15-26","Dustin Hopkins",34,"Y","N","Home",81,"",2,"",NA,NA,NA
"129",129,"12/19/16","CAR","WAS","W 26-15","Graham Gano",23,"Y","N","Away",79,"",7,"",NA,NA,NA
"130",130,"12/19/16","CAR","WAS","W 26-15","Graham Gano",38,"N","N","Away",79,"",7,"",NA,NA,NA
"131",131,"12/19/16","WAS","CAR","L 15-26","Dustin Hopkins",26,"Y","N","Home",81,"",2,"",NA,NA,NA
"132",132,"12/19/16","CAR","WAS","W 26-15","Graham Gano",35,"Y","N","Away",79,"",7,"",NA,NA,NA
"133",133,"12/18/16","TEN","KAN","W 19-17","Ryan Succop",39,"Y","N","Away",92,"",7,"",NA,NA,NA
"134",134,"12/18/16","OAK","SDG","W 19-16","Sebastian Janikowski",45,"Y","N","Away",83,"",16,"",NA,NA,NA
"135",135,"12/18/16","NWE","DEN","W 16-3","Stephen Gostkowski",40,"Y","N","Away",84,"",10,"",NA,NA,NA
"136",136,"12/18/16","ATL","SFO","W 41-13","Matt Bryant",50,"Y","N","Home",92,"",15,"",NA,NA,NA
"137",137,"12/18/16","PHI","BAL","L 26-27","Caleb Sturgis",29,"Y","N","Away",85,"",3,"",NA,NA,NA
"138",138,"12/18/16","ARI","NOR","L 41-48","Chandler Catanzaro",55,"N","N","Home",75,"",2,"",NA,NA,NA
"139",139,"12/18/16","MIN","IND","L 6-34","Kai Forbath",32,"Y","N","Home",100,"",5,"",NA,NA,NA
"140",140,"12/18/16","DET","NYG","L 6-17","Matt Prater",48,"Y","N","Away",86,"",10,"",NA,NA,NA
"141",141,"12/18/16","DAL","TAM","W 26-20","Dan Bailey",27,"Y","N","Home",84,"",5,"",NA,NA,NA
"142",142,"12/18/16","NOR","ARI","W 48-41","Wil Lutz",37,"Y","N","Away",82,"",0,"",NA,NA,NA
"143",143,"12/18/16","GNB","CHI","W 30-27","Mason Crosby",32,"Y","N","Away",87,"",9,"",NA,NA,NA
